loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_cer,eval_wer,eval_chrf,eval_exact_match,eval_word_accuracy,eval_punct_precision,eval_punct_recall,eval_punct_f1,eval_punct_accuracy,eval_capitalization_accuracy,eval_capitalization_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.7459507751464844,3.665897846221924,7.791299056890782e-05,1.3007953723788865,900,,,,,,,,,,,,,,,,,,,,
1.7555413818359376,3.253396987915039,7.639184666869486e-05,1.3731019522776573,950,,,,,,,,,,,,,,,,,,,,
1.764154052734375,4.097136497497559,7.487070276848191e-05,1.445408532176428,1000,,,,,,,,,,,,,,,,,,,,
1.701759033203125,5.726006984710693,7.334955886826894e-05,1.5177151120751988,1050,,,,,,,,,,,,,,,,,,,,
1.6394422912597657,2.5878257751464844,7.182841496805597e-05,1.5900216919739696,1100,,,,,,,,,,,,,,,,,,,,
1.7541746520996093,2.2096710205078125,7.030727106784302e-05,1.6623282718727403,1150,,,,,,,,,,,,,,,,,,,,
1.6725862121582031,2.9868319034576416,6.878612716763007e-05,1.7346348517715113,1200,,,,,,,,,,,,,,,,,,,,
1.602738800048828,2.771235704421997,6.72649832674171e-05,1.8069414316702819,1250,,,,,,,,,,,,,,,,,,,,
1.63003662109375,3.2732901573181152,6.574383936720414e-05,1.8792480115690529,1300,,,,,,,,,,,,,,,,,,,,
1.66739501953125,2.2394378185272217,6.422269546699118e-05,1.9515545914678236,1350,,,,,,,,,,,,,,,,,,,,
,,,2.0,1384,0.6429900527000427,0.08575724787575979,0.2677625265968543,78.28505601949784,0.09833694866232827,0.5778234931084139,0.7286796785563684,0.3624112875682357,0.45693966396758584,0.5722469764481222,0.9742226191442721,0.713641488162345,80.6482,17.149,2.145,,,,,
1.5360418701171874,3.593043088912964,6.270155156677822e-05,2.0231381055676065,1400,,,,,,,,,,,,,,,,,,,,
1.5569996643066406,2.3714420795440674,6.118040766656527e-05,2.0954446854663775,1450,,,,,,,,,,,,,,,,,,,,
1.5658694458007814,1.8999899625778198,5.9659263766352305e-05,2.167751265365148,1500,,,,,,,,,,,,,,,,,,,,
1.6121267700195312,2.679650068283081,5.813811986613934e-05,2.240057845263919,1550,,,,,,,,,,,,,,,,,,,,
1.4478939819335936,2.1400716304779053,5.6616975965926376e-05,2.3123644251626896,1600,,,,,,,,,,,,,,,,,,,,
1.4530101013183594,2.625303268432617,5.5095832065713415e-05,2.3846710050614606,1650,,,,,,,,,,,,,,,,,,,,
1.5449539184570313,3.068862199783325,5.357468816550046e-05,2.4569775849602316,1700,,,,,,,,,,,,,,,,,,,,
1.4367475891113282,2.696563482284546,5.20535442652875e-05,2.529284164859002,1750,,,,,,,,,,,,,,,,,,,,
1.4718191528320312,3.153332471847534,5.053240036507454e-05,2.601590744757773,1800,,,,,,,,,,,,,,,,,,,,
1.4455299377441406,2.359367847442627,4.901125646486158e-05,2.6738973246565436,1850,,,,,,,,,,,,,,,,,,,,
1.3823898315429688,1.96175217628479,4.749011256464862e-05,2.7462039045553146,1900,,,,,,,,,,,,,,,,,,,,
1.3908969116210939,2.2703590393066406,4.5968968664435655e-05,2.8185104844540856,1950,,,,,,,,,,,,,,,,,,,,
1.4469375610351562,3.7270359992980957,4.4447824764222694e-05,2.890817064352856,2000,,,,,,,,,,,,,,,,,,,,
1.3385336303710937,3.0725343227386475,4.292668086400974e-05,2.9631236442516267,2050,,,,,,,,,,,,,,,,,,,,
,,,3.0,2076,0.5739465355873108,0.07691022499443083,0.24865451207810088,79.78925198880106,0.1193058568329718,0.5946257830530828,0.7523136876971036,0.36089677179599167,0.4549006547121821,0.5732484076433121,0.9742682567277681,0.7157776530039304,80.8372,17.108,2.14,,,,,
1.388563995361328,2.7658393383026123,4.140553696379678e-05,3.03470715835141,2100,,,,,,,,,,,,,,,,,,,,
1.3602613830566406,2.7221477031707764,3.988439306358382e-05,3.107013738250181,2150,,,,,,,,,,,,,,,,,,,,
